date,location,species code,sex (M/F),age/pelage (J/A/S),Rat ID,left eartag,right eartag,RFID,new animal? (Y/N),total mass (g),"female (perforate, partially perforate, imperforate)",female nipple size (S/M/L),pregnant? (Y/N/Possibly),fleas,ticks,"male (scrotal, nonscrotal)",Notes,,,
18/7/12,WC15,Nefu,F,A,5569,5569,,,Y,200,P,M,N,,,,"Dry milk on nipples, some blood in trap. Decided not to pit tag. Animal seemed stressed.",,,
18/7/12,WC09,Nefu,F,S,5578,5578,,1B79702682,Y,125,I,S,N,,,,Some brown on pelt,,,
18/7/12,WC15,Nefu,,A,5593,5593,,1B79702BF2,Y,,,,,,,,escaped,,,
18/7/12,WC13,Nefu,F,A,5727,5727,,1B79702A33,Y,205,P,M,N,,,,,,,
18/7/12,WC12,Nefu,M,A,5729,5729,,1B79701251,Y,295,,,,,,NS,Fleas,,,
18/7/12,WC09,Nefu,F,A,5782,5782,,1B79701DD1,Y,145,P,M,N,,,,Dried milk on nipples,,,
18/7/12,WC13,Nefu,F,S,5790,5790,,1B797022B6,Y,155,I,S,N,,,,Some fleas,,,
18/7/12,WC11,Nefu,M,A,5539,,5539,1B79702458,Y,295,,,,,,NS,Tagged right ear- easier to get to.,,,
25/7/12,WC14,Nefu,F,S,5507,5507,,1B7970256F,Y,135,I,S,N,,,,"Fleas, sub-adult",,,
25/7/12,WC06,Nefu,F,A,5559,5559,,1B79702531,Y,215,I,S,N,,,,,,,
25/7/12,WC03,Nefu,M,S,5571,5571,,1B797025E0,Y,155,,,,,,NS,,,,
25/7/12,WC04,Nefu,M,J,5574,5574,,1B79702D31,Y,145,,,,,,NS,,,,
25/7/12,WC16,Nefu,F,S,5584,5584,,1B79702489,Y,130,I,S,N,,,,,,,
25/7/12,WC12,Nefu,F,A,5727,5727,,1B79702A33,N,175,I,M,N,,,,Cut on tail,,,
25/7/12,WC02,Nefu,M,A,5730,5730,,1B79701390,Y,225,,,,,,NS,Pit tag may not stay in,,,
25/7/12,WC05,Nefu,F,A,5761,5761,,1B7970208D,Y,185,I,S,N,,,,Fleas,,,
25/7/12,WC09,Nefu,F,A,5782,5782,,1B79701DD1,N,150,I,S,N,,,,,,,
25/7/12,WC07,Nefu,M,A,5539,,5539,1B79702458,N,285,,,,,,NS,,,,
10/8/12,WC06,Nefu,F,A,5559,5559,,1B79702C23,N,185,I,S,,,,,Retagged: pit tag from first capture did not stay in.,,,
10/8/12,WC14,Nefu,M,S,5574,5574,,1B79702D31,N,160,,,,,,NS,Fleas,,,
10/8/12,WC01,Nefu,F,A,5593,5593,,1B79702BF2,N,200,I,S,N,,,,"Was not a recap, but pit tag is new (escaped before pit tagging on first capture)",,,
10/8/12,WC05,Nefu,F,A,5761,5761,,1B79701710,N,199,I,S,N,,,,Short tail.  Re-tagged: pit tag from first capture did not stay in.,,,
10/8/12,WC10,Nefu,F,A,6192,6192,,1B79702219,Y,215,I,M,,,,,Not sure if pit tag is in far enough- may come out.,,,
6/9/12,WC03,Nefu,M,S,5571,5571,,1B79701F84,N,170,,,,,,NS,"Original pit tag lost since last capture, new pit tag issued",,,
6/9/12,WC17,Nefu,M,A,5592,5592,,1B79701A40,Y,275,,,,,,NS,Jumped out of bag before we could verify pit tag was in,,,
6/9/12,WC01,Nefu,F,A,5593,5593,,1B79702BF2,N,195,I,S,N,,,,Dried milk on nipples,,,
6/9/12,WC08,Nefu,F,A,5761,5761,,1B797026FF,N,220,I,S,N,,,,"Fleas, short tail (cut off?) Pit tag lost since last caputure. New pit tag issued.",,,
6/9/12,WC09,Nefu,F,A,5782,5782,,1B79701DD1,N,155,I,S,N,,,,Dried milk on nipples,,,
6/9/12,WC13,Nefu,F,S,5790,5790,,1B79702715,N,173,I,S,N,,,,"Claw marks on trap. Pit tag lost since last caputure, new pit tag issued (some blood at injection site).",,,
6/9/12,WC11,Nefu,M,A,5539,,5539,1B79702458,N,295,,,,,,NS,,,,
25/9/12,WC01B,Nefu,M,A,5571,5571,,1B79701F84,N,180,,,,,,NS,Went back into house 1B.,,,
25/9/12,WC23,Nefu,F,A,5581,5581,,1B7970252A,201,210,I,S,N,,,,Went back into WC23,,,
25/9/12,WC12,Nefu,F,A,5727,5727,,1B79702A33,N,210,I,S,N,,,,Went back into WC12,,,
25/9/12,WC02,Nefu,M,A,5730,5730,,1B797028E3,N,260,,,,,,NS,New pit tag (with surgical glue).  Went back into WC2,,,
25/9/12,WC13,Nefu,F,A,5790,5790,,1B79702715,N,170,I,S,N,,,,"Dried milk around nipples. Went back into WC13, tail rattle",,,
25/9/12,WC10,Nefu,F,A,6192,6192,,1B79702219,N,213,I,M,N,,,,"Back into house slowly, tail rattle",,,
5/11/12,WC12,Nefu,F,A,5727,5727,,1B79702A33,N,,,,,,,,RFID logger deployed outside of house.,,,
21/4/13,WC6,Nefu,F,A,5559,5559,,1B79702C23,N,280,I,L,P ,,,,,,,
21/4/13,WC1,Nefu,F,A,5593,5593,,1B79702BF2,N,210,I,M,N,,,,Went back into WC1,,,
21/4/13,WC37,Nefu,F,A,5535,5535,,1B79702B20,Y,220,I,M,N,,,,Back into WC37,,,
21/4/13,WC33,Nefu,F,A,5536,5536,,1B797025AB,Y,230,I,M,N,,,,"Short tail (chomped on, but healed); fleas. Lactating",,,
21/4/13,WC12,Nefu,F,A,5727,5727,,1B79702A33,N,235,P,L,N,,,,Nursing,,,
21/4/13,WC22,Nefu,F,J,5789,5789,,1B79702A6D,Y,88,I,S,N,,,,Fleas. Pit tag may come out. Went back into WC22.,,,
21/4/13,WC13,Nefu,F,A,5790,5790,,1B79702715,N,250,P,L,p,,,,,,,
21/4/13,WC23,Nefu,F,A,5793,5793,,1B7970249B,Y,180,I,M,N,,,,Ticks collected.,,,
21/4/13,WC30,Nefu,F,J,5796,5796,,1B79702B33,Y,87,I,S,P,,,,Went back into WC30,,,
21/4/13,WC39,Nefu,F,A,6351,6351,,1B79702761,Y,,,L,,,,,Escaped before animal could be weighed.  Ticks collected,,,
21/4/13,WC25,Nefu,F,A,5584,5584,,1B797026B3,N,225,I,L,P,,,,New pit tag,,,
21/4/13,WC2B,Nefu,,A,,,,,N,225,,,,,,,"No RFID tag when scanned, but had left ear tag.  Escaped while being handled.",,,
19/5/13,WC2,Nefu,F,A,5507,5507,,1B7970256F,N,195,P,L,N,N,,,Recap previously at WC14; fur missing on legs,,,
19/5/13,WC37B,Nefu,F,A,5535,5535,,1B79702B20,N,200,P,L,N,N,N,,Recap-went back into house,,,
19/5/13,WC24,Nefu,M,J,5541,5541,,1B7970135F,Y,100,,,,N,N,NS,New,,,
19/5/13,WC15,Nefu,F,A,5569,5569,,1B79702A2C,N,220,P,L,N,N,,,Recap previously at WC15; new pit tag,,,
19/5/13,WC19,Nefu,M,A,5592,5592,,1B79701A40,N,300,,,,N,N,NS,Recap,,,
19/5/13,WC8,Nefu,F,A,5773,5773,,1B79701B55,Y,185,I,M,,N,N,,,,,
19/5/13,WC37A,Nefu,M,S,5774,5774,,1B79702810,Y,135,,,,N,N,NS,New  ,,,
19/5/13,WC13,Nefu,F,A,5790,5790,,1B79702715,N,240,I,L,N,N,,,Recap,,,
19/5/13,WC2C,Nefu,M,J,6350,6350,,1B79701739,Y,95,,,,Y,,NS,"Pit tag may fall out. Lots of fleas, went back into house",,,
19/5/13,WC38,Nefu,F,A,6351,6351,,1B79702761,N,195,I,L,N,,N,NS,"Recap, went back into house",,,
19/5/13,WC40,Nefu,F,A,5584,5584,,1B797026B3,N,95,I,M,N,,N,NS,"Recap, did not go back into house",,,
