YEAR,RatID,Sex,RFID HEX1,RFID HEX2,RFID HEX3,RFID HEX4,Comments
2012,5507,F,1B7970256F,,,,
2012,5539,M,1B79702458,,,,
2012,5559,F,1B79702531,1B79702C23,,,
2012,5569,F,1B79702A2C,,,,
2012,5571,M,1B797025E0,1B79701F84,,,
2012,5574,M,1B79702D31,,,,
2012,5578,F,1B79702682,,,,
2012,5581,F,1B7970252A,,,,
2012,5584,F,1B79702489,1B797026B3,,,
2012,5592,M,1B79701A40,,,,
2012,5593,F,1B79702BF2,,,,
2012,5727,F,1B79702A33,,,,
2012,5729,M,1B79701251,,,,
2012,5730,M,1B79701390,1B797028E3,,,
2012,5761,F,1B797026FF,1B7970208D,1B79701710,,
2012,5782,F,1B79701DD1,,,,
2012,5790,F,1B797022B6,1B79702715,,,
2012,6192,F,1B79702219,,,,
2013,5503,M,1B79702D1D,,,,
2013,5506,F,1B79702B38,,,,
2013,5521,M,1B797024A6,,,,
2013,5527,F,1B79702A33,,,,
2013,5529,M,1B79701628,,,,
2013,5535,F,1B79702B20,1B79702B2C,,,
2013,5536,F,1B797025AB,,,,
2013,5537,M,1B7970135B,,,,
2013,5540,M,1B79701E5D,,,,
2013,5541,M,1B7970135F,,,,
2013,5542,M,1B79702786,,,,
2013,5545,F,1B797022CF,,,,
2013,5566,M,1B7970227A,,,,
2013,5768,M,1B79702AC8,1B79702B9D,,,
2013,5770,F,1B79701FA3,,,,
2013,5773,F,1B79701B55,,,,
2013,5774,M,1B7970153D,1B79702810,,,
2013,5789,F,1B79702A6D,1B7970286C,,,
2013,5793,F,1B7970249B,,,,
2013,5796,F,1B79702B33,,,,
2013,5798,M,1B797019C1,,,,
2013,5799,M,1B797020B2,,,,
2013,6323,F,1B7970208E,,,,
2013,6325,M,1B79701A33,,,,
2013,6350,M,1B79701739,15C465ED,,,
2013,6351,F,1B79702761,,,,
2013,6371,M,1B79701C9E,,,,
2013,6372,M,1B7970231C,,,,
2013,6373,M,1B7970211C,,,,
2014,5538,F,1B7970267F,,,,
2014,5726,M,1B79702CA5,,,,
2014,5764,F,1B79702624,,,,
2014,5996,M,1B79701B35,,,,
2014,6321,F,1B7970255C,1B797023B7,1B79701D4E,,
2014,6324,F,1B79701723,,,,
2014,6385,M,1B79702789,,,,
2014,6387,M,1B7970276B,,,,
2014,6388,M,1B797021BB,,,,
2014,6399,F,1B797022F8,,,,
2014,6400,F,1B79701EB9,,,,
2015,6334,M,1B7970292D,,,,
2015,6337,M,1B79701982,,,,
2015,6347,M,1B797025F4,,,,
2015,6348,M,1B7970228F,,,,
2015,6361,F,1B79702A01,,,,
2015,6397,F,1B79702564,1B797025C4,,,
2016,5508,M,3BDDB063,3BDDB09C,,,
2016,5520,F,3BDDB0A0,,,,
2016,5524,F,3BDDB0AD,15C465C5,,,
2016,5731,M,3BDDB099,,,,
2016,5733,M,3BDDB076,,,,
2016,5776,F,3BDDB056,,,,
2016,5780,F,3BDDB08C,,,,
2016,6305,F,3BDDB07F,15C465D0,,,
2016,6309,M,3BDDB0A8,3BDDB07A,,,
2016,6331,F,3BDDB060,,,,
2016,6332,M,3BDDB090,,,,
2016,6352,F,3BDDB086,,,,
2016,6391,F,3BDDB04E,,,,
2017,5515,F,15C465D8,15C46590,3D2D25C1,3D2D25E8,
2017,5519,F,15C465B3,,,,
2017,5522,F,15C465C4,,,,
2017,5549,M,15C4659E,,,,
2017,5570,M,15C465A2,,,,
2017,5590,M,15C465CF,,,,
2017,5598,M,15C465E1,15C46593,,,
2017,5766,F,15C465A3,3D65C465A3,,,
2017,5777,M,15C465DC,,,,
2017,5783,F,15C46597,,,,
2017,5797,M,15C465AE,,,,
2017,6303,M,15C465E6,15C465F1,15C465DD,,
2017,6307,F,15C465BE,,,,
2017,6312,F,15C465D7,,,,
