"","location","ele","time","name","date","species.code","sex..M.F.","age.pelage..J.A.S.","Rat.ID","left.eartag","right.eartag","RFID","new.animal...Y.N.","total.mass..g.","female..perforate..partially.perforate..imperforate.","female.nipple.size..S.M.L.","pregnant...Y.N.Possibly.","fleas","ticks","male..scrotal..nonscrotal.","Notes","X","X.1","X.2","date_index","year","rat_id_index","coords.x1","coords.x2","optional"
"1","WC01",217.676926,"2013/04/15 16:43:20+00","WC01",2013-08-24,"Nefu","M","A",5730,"5730","","1B797028E3","N",295,"","","","N","N","NS","",NA,"",NA,13,2013,83,-122.155174026266,38.5016510356218,TRUE
"2","WC01",217.676926,"2013/04/15 16:43:20+00","WC01",2019-08-25,"NeFu","M","J",310,"0310","","003D2D25DE","Y",131,"","","","N","N","NS","went into house",NA,"",NA,54,2019,17,-122.155174026266,38.5016510356218,TRUE
"3","WC01",217.676926,"2013/04/15 16:43:20+00","WC01",2017-05-15,"Nefu","M","A",6333,"6333","","0015C465EE","Y",315,"","","","Y","N","S","radio collared (4.120); went downhill from WC01",NA,"",NA,32,2017,125,-122.155174026266,38.5016510356218,TRUE
"4","WC01",217.676926,"2013/04/15 16:43:20+00","WC01",2019-05-12,"NeFu","F","A",136,"0136","","003D2D25EC","Y",227.5,"PP","S","P","N","N","","went into house 1A",NA,"",NA,50,2019,3,-122.155174026266,38.5016510356218,TRUE
"5","WC01",217.676926,"2013/04/15 16:43:20+00","WC01",2012-09-06,"Nefu","F","A",5593,"5593","","1B79702BF2","N",195,"I","S","N","","","","Dried milk on nipples",NA,"",NA,4,2012,78,-122.155174026266,38.5016510356218,TRUE
"6","WC01",217.676926,"2013/04/15 16:43:20+00","WC01",2017-06-11,"Nefu","M","A",5590,"5590","","0015C465CF","N",180,"","","","Y","N","NS","recap, straight into house",NA,"",NA,33,2017,76,-122.155174026266,38.5016510356218,TRUE
"7","WC01",217.676926,"2013/04/15 16:43:20+00","WC01",2012-08-10,"Nefu","F","A",5593,"5593","","1B79702BF2","N",200,"I","S","N","","","","Was not a recap, but pit tag is new (escaped before pit tagging on first capture)",NA,"",NA,3,2012,78,-122.155174026266,38.5016510356218,TRUE
"8","WC01",217.676926,"2013/04/15 16:43:20+00","WC01",2019-09-22,"NeFu","M","S",310,"0310","","003D2D25DE","N",150,"","","","Y","N","NS","went into house",NA,"",NA,56,2019,17,-122.155174026266,38.5016510356218,TRUE
"9","WC01",217.676926,"2013/04/15 16:43:20+00","WC01",2013-04-21,"Nefu","F","A",5593,"5593","","1B79702BF2","N",210,"I","M","N","","","","Went back into WC1",NA,"",NA,7,2013,78,-122.155174026266,38.5016510356218,TRUE
"10","WC01",217.676926,"2013/04/15 16:43:20+00","WC01",2014-06-07,"Nefu","M","A",5571,"5571","","1B79701F84","N",240,"","","","N","N","NS","",NA,"",NA,19,2014,70,-122.155174026266,38.5016510356218,TRUE
"11","WC01B",203.28949,"2013/04/30 17:33:18+00","WC01B",2012-09-25,"Nefu","M","A",5571,"5571","","1B79701F84","N",180,"","","","","","NS","Went back into house 1B.",NA,"",NA,5,2012,70,-122.15509397909,38.5017030034214,TRUE
"12","WC02",191.87471,"2013/04/22 16:59:45+00","WC02",2018-08-26,"NeFu","F","S",340,"0340","","003D2D25CB","N",127,"I","S","N","N","N","","Back into WC2",NA,"",NA,47,2018,25,-122.154905973002,38.5017330106348,TRUE
"13","WC02",191.87471,"2013/04/22 16:59:45+00","WC02",2012-07-25,"Nefu","M","A",5730,"5730","","1B79701390","Y",225,"","","","","","NS","Pit tag may not stay in",NA,"",NA,2,2012,83,-122.154905973002,38.5017330106348,TRUE
"14","WC02",191.87471,"2013/04/22 16:59:45+00","WC02",2018-06-03,"NeFu","M","J",171,"0171","","0015C465EC","Y",125,"","","","Y","N","NS","radiocollar 164.061; ate an oat, then went into house",NA,"",NA,40,2018,6,-122.154905973002,38.5017330106348,TRUE
"15","WC02",191.87471,"2013/04/22 16:59:45+00","WC02",2016-09-11,"Nefu","M","S",5733,"","5733","003BDDB076","Y",165,"","","","Y","N","NS","LOTS OF FLEAS",NA,"",NA,30,2016,85,-122.154905973002,38.5017330106348,TRUE
"16","WC02",191.87471,"2013/04/22 16:59:45+00","WC02",2018-08-03,"NeFu","M","S",171,"0171","","0015C465EC","N",145,"","","","N","N","NS","radiocollar; cinnamon pelage; went back into house; tail injury collected for DNA",NA,"",NA,45,2018,6,-122.154905973002,38.5017330106348,TRUE
"17","WC02",191.87471,"2013/04/22 16:59:45+00","WC02",2018-09-23,"NeFu","F","S",340,"0340","","003D2D25CB","N",149,"I","S","N","Y","N","","stoof outside for 1.5 minutes before going back into house",NA,"",NA,48,2018,25,-122.154905973002,38.5017330106348,TRUE
"18","WC02",191.87471,"2013/04/22 16:59:45+00","WC02",2012-09-25,"Nefu","M","A",5730,"5730","","1B797028E3","N",260,"","","","","","NS","New pit tag (with surgical glue).  Went back into WC2",NA,"",NA,5,2012,83,-122.154905973002,38.5017330106348,TRUE
"19","WC02",191.87471,"2013/04/22 16:59:45+00","WC02",2013-05-19,"Nefu","F","A",5507,"5507","","1B7970256F","N",195,"P","L","N","N","","","Recap previously at WC14; fur missing on legs",NA,"",NA,8,2013,45,-122.154905973002,38.5017330106348,TRUE
